sample_id,sample_name,biosample,sample_description,latitude,longitude,geolocation,biome,biome_feature,biome_material
ERS1107870,Processed metagenomic and transcriptomic activated sludge samples,SAMEA3920736,Processed metagenomic and transcriptomic activated sludge samples,47.4048,8.6097,Switzerland,wastewater,wastewater treatment plant,activated sludge
ERS1107871,Processed metagenomic and transcriptomic activated sludge samples,SAMEA3920737,Processed metagenomic and transcriptomic activated sludge samples,47.4048,8.6097,Switzerland,wastewater,wastewater treatment plant,activated sludge
ERS1107872,Processed metagenomic and transcriptomic activated sludge samples,SAMEA3920738,Processed metagenomic and transcriptomic activated sludge samples,47.4048,8.6097,Switzerland,wastewater,wastewater treatment plant,activated sludge
ERS1107873,Processed metagenomic and transcriptomic activated sludge samples,SAMEA3920739,Processed metagenomic and transcriptomic activated sludge samples,47.4048,8.6097,Switzerland,wastewater,wastewater treatment plant,activated sludge
ERS1107874,Processed metagenomic and transcriptomic activated sludge samples,SAMEA3920740,Processed metagenomic and transcriptomic activated sludge samples,47.4048,8.6097,Switzerland,wastewater,wastewater treatment plant,activated sludge
ERS1107875,Processed metagenomic and transcriptomic activated sludge samples,SAMEA3920741,Processed metagenomic and transcriptomic activated sludge samples,47.4048,8.6097,Switzerland,wastewater,wastewater treatment plant,activated sludge
ERS1107846,Processed metagenomic and transcriptomic activated sludge samples,SAMEA3920712,Processed metagenomic and transcriptomic activated sludge samples,47.4048,8.6097,Switzerland,wastewater,wastewater treatment plant,activated sludge
ERS1107847,Processed metagenomic and transcriptomic activated sludge samples,SAMEA3920713,Processed metagenomic and transcriptomic activated sludge samples,47.4048,8.6097,Switzerland,wastewater,wastewater treatment plant,activated sludge
ERS1107848,Processed metagenomic and transcriptomic activated sludge samples,SAMEA3920714,Processed metagenomic and transcriptomic activated sludge samples,47.4048,8.6097,Switzerland,wastewater,wastewater treatment plant,activated sludge
ERS1107849,Processed metagenomic and transcriptomic activated sludge samples,SAMEA3920715,Processed metagenomic and transcriptomic activated sludge samples,47.4048,8.6097,Switzerland,wastewater,wastewater treatment plant,activated sludge
ERS1107860,Processed metagenomic and transcriptomic activated sludge samples,SAMEA3920726,Processed metagenomic and transcriptomic activated sludge samples,47.4048,8.6097,Switzerland,wastewater,wastewater treatment plant,activated sludge
ERS1107861,Processed metagenomic and transcriptomic activated sludge samples,SAMEA3920727,Processed metagenomic and transcriptomic activated sludge samples,47.4048,8.6097,Switzerland,wastewater,wastewater treatment plant,activated sludge
ERS1107862,Processed metagenomic and transcriptomic activated sludge samples,SAMEA3920728,Processed metagenomic and transcriptomic activated sludge samples,47.4048,8.6097,Switzerland,wastewater,wastewater treatment plant,activated sludge
ERS1107863,Processed metagenomic and transcriptomic activated sludge samples,SAMEA3920729,Processed metagenomic and transcriptomic activated sludge samples,47.4048,8.6097,Switzerland,wastewater,wastewater treatment plant,activated sludge
ERS1107864,Processed metagenomic and transcriptomic activated sludge samples,SAMEA3920730,Processed metagenomic and transcriptomic activated sludge samples,47.4048,8.6097,Switzerland,wastewater,wastewater treatment plant,activated sludge
ERS1107865,Processed metagenomic and transcriptomic activated sludge samples,SAMEA3920731,Processed metagenomic and transcriptomic activated sludge samples,47.4048,8.6097,Switzerland,wastewater,wastewater treatment plant,activated sludge
ERS1107866,Processed metagenomic and transcriptomic activated sludge samples,SAMEA3920732,Processed metagenomic and transcriptomic activated sludge samples,47.4048,8.6097,Switzerland,wastewater,wastewater treatment plant,activated sludge
ERS1107867,Processed metagenomic and transcriptomic activated sludge samples,SAMEA3920733,Processed metagenomic and transcriptomic activated sludge samples,47.4048,8.6097,Switzerland,wastewater,wastewater treatment plant,activated sludge
ERS1107850,Processed metagenomic and transcriptomic activated sludge samples,SAMEA3920716,Processed metagenomic and transcriptomic activated sludge samples,47.4048,8.6097,Switzerland,wastewater,wastewater treatment plant,activated sludge
ERS1107851,Processed metagenomic and transcriptomic activated sludge samples,SAMEA3920717,Processed metagenomic and transcriptomic activated sludge samples,47.4048,8.6097,Switzerland,wastewater,wastewater treatment plant,activated sludge
ERS1107858,Processed metagenomic and transcriptomic activated sludge samples,SAMEA3920724,Processed metagenomic and transcriptomic activated sludge samples,47.4048,8.6097,Switzerland,wastewater,wastewater treatment plant,activated sludge
ERS1107859,Processed metagenomic and transcriptomic activated sludge samples,SAMEA3920725,Processed metagenomic and transcriptomic activated sludge samples,47.4048,8.6097,Switzerland,wastewater,wastewater treatment plant,activated sludge
ERS1107868,Processed metagenomic and transcriptomic activated sludge samples,SAMEA3920734,Processed metagenomic and transcriptomic activated sludge samples,47.4048,8.6097,Switzerland,wastewater,wastewater treatment plant,activated sludge
ERS1107869,Processed metagenomic and transcriptomic activated sludge samples,SAMEA3920735,Processed metagenomic and transcriptomic activated sludge samples,47.4048,8.6097,Switzerland,wastewater,wastewater treatment plant,activated sludge
ERS1107852,Processed metagenomic and transcriptomic activated sludge samples,SAMEA3920718,Processed metagenomic and transcriptomic activated sludge samples,47.4048,8.6097,Switzerland,wastewater,wastewater treatment plant,activated sludge
