sample_id,sample_name,biosample,sample_description,latitude,longitude,geolocation,biome,biome_feature,biome_material
ERS1426778,wastewater metagenome,SAMEA4527599,"Tirana, Albania",41.327,9.818,Albania,,,
ERS1426779,wastewater metagenome,SAMEA4527600,"Woden, Australia",35.345,149.095,Australia,,,
ERS1426780,wastewater metagenome,SAMEA4527601,"Melbourne, Australia",37.914,144.643,Australia,,,
ERS1426781,wastewater metagenome,SAMEA4527602,"Vienna, Austria",48.208,16.373,Austria,,,
ERS1426782,wastewater metagenome,SAMEA4527603,"Sofia, Bulgaria",42.697,23.321,Bulgaria,,,
ERS1426783,wastewater metagenome,SAMEA4527604,"Belem, Brasil",1.455,48.49,Brazil,,,
ERS1426784,wastewater metagenome,SAMEA4527605,"Belem, Brasil",1.455,48.49,Brazil,,,
ERS1426785,wastewater metagenome,SAMEA4527606,"Palapye, Botswana",22.551,27.114,Botswana,,,
ERS1426786,wastewater metagenome,SAMEA4527607,"Regina, Canada",50.445,104.618,Canada,,,
ERS1426787,wastewater metagenome,SAMEA4527608,"Calgary, Canada",51.048,114.07,Canada,,,
ERS1426788,wastewater metagenome,SAMEA4527609,"Toronto, Canada",43.653,79.383,Canada,,,
ERS1426789,wastewater metagenome,SAMEA4527610,"Ottawa, Canada",45.421,75.697,Canada,,,
ERS1426790,wastewater metagenome,SAMEA4527611,"Herrenschwanden, Switzerland",46.948,7.447,Switzerland,,,
ERS1426791,wastewater metagenome,SAMEA4527612,"Guangzhou, China",23.129,113.264,China,,,
ERS1426792,wastewater metagenome,SAMEA4527613,"Abidjan, Cote d''Ivoire",5.36,4.008,Cote d'Ivoire,,,
ERS1426793,wastewater metagenome,SAMEA4527614,"Mosquera, Colombia",4.706,74.23,Colombia,,,
ERS1426794,wastewater metagenome,SAMEA4527615,"Brno, Czech Republic",49.195,16.606,Czech Republic,,,
ERS1426795,wastewater metagenome,SAMEA4527616,"Berlin, Germany",52.52,13.405,Germany,,,
ERS1426796,wastewater metagenome,SAMEA4527617,"Copenhagen, Denmark",55.676,12.568,Denmark,,,
ERS1426797,wastewater metagenome,SAMEA4527618,"Copenhagen, Denmark",55.676,12.568,Denmark,,,
ERS1426798,wastewater metagenome,SAMEA4527619,"Copenhagen, Denmark",55.676,12.568,Denmark,,,
ERS1426799,wastewater metagenome,SAMEA4527620,"Quito, Ecuador",0.18,78.467,Ecuador,,,
ERS1426800,wastewater metagenome,SAMEA4527621,"San Cristobal Island, Galapagos, Ecuador",0.867,89.436,Ecuador,,,
ERS1426801,wastewater metagenome,SAMEA4527622,"Barcelona, Spain",41.385,2.173,Spain,,,
ERS1426802,wastewater metagenome,SAMEA4527623,"Addis Ababa, Ethiopia",8.98,38.757,Ethiopia,,,
ERS1426803,wastewater metagenome,SAMEA4527624,"Helsinki, Finland",60.169,24.938,Finland,,,
ERS1426804,wastewater metagenome,SAMEA4527625,"Tbilisi, Georgia",41.715,44.827,Georgia,,,
ERS1426805,wastewater metagenome,SAMEA4527626,"Tamale, Ghana",9.432,0.848,Ghana,,,
ERS1426806,wastewater metagenome,SAMEA4527627,"Banjul, Gambia",13.454,16.579,Gambia,,,
ERS1426807,wastewater metagenome,SAMEA4527628,"Zagreb, Croatia",45.815,15.981,Croatia,,,
ERS1426808,wastewater metagenome,SAMEA4527629,"Budapest, Hungary",47.497,19.04,Hungary,,,
ERS1426809,wastewater metagenome,SAMEA4527630,"Cochin, India",9.931,76.267,India,,,
ERS1426810,wastewater metagenome,SAMEA4527631,"Galway, Ireland",53.27,9.056,Ireland,,,
ERS1426811,wastewater metagenome,SAMEA4527632,"Tehran, Iran",35.689,51.389,Iran,,,
ERS1426812,wastewater metagenome,SAMEA4527633,"Reykjavik, Iceland",64.126,21.817,Iceland,,,
ERS1426813,wastewater metagenome,SAMEA4527634,"Jerusalem, Israel",31.768,35.213,Israel,,,
ERS1426814,wastewater metagenome,SAMEA4527635,"Rome, Italy",41.902,12.496,Italy,,,
ERS1426815,wastewater metagenome,SAMEA4527636,"Almaty, Kazakhstan",43.222,76.851,Kazakhstan,,,
ERS1426816,wastewater metagenome,SAMEA4527637,"Nairobi, Kenya",1.292,36.821,Kenya,,,
ERS1426817,wastewater metagenome,SAMEA4527638,"Phnom Penh, Cambodia",11.544,104.892,Cambodia,,,
ERS1426818,wastewater metagenome,SAMEA4527639,"Colombo, Sri Lanka",6.927,79.861,Sri Lanka,,,
ERS1426819,wastewater metagenome,SAMEA4527640,"Belvaux, Luxembourg",49.509,5.922,Luxembourg,,,
ERS1426820,wastewater metagenome,SAMEA4527641,"Riga, Latvia",56.949,24.105,Latvia,,,
ERS1426821,wastewater metagenome,SAMEA4527642,"Chisinau, Moldova",47.01,28.863,Moldova,,,
ERS1426822,wastewater metagenome,SAMEA4527643,"Skopje, Republic of Macedonia",41.997,21.428,Macedonia,,,
ERS1426823,wastewater metagenome,SAMEA4527644,"St. Venera, Malta",35.89,14.476,Malta,,,
ERS1426824,wastewater metagenome,SAMEA4527645,"Bedong, Malaysia",5.728,100.507,Malaysia,,,
ERS1426825,wastewater metagenome,SAMEA4527646,"Ibadan, Nigeria",7.377,3.947,Nigeria,,,
ERS1426826,wastewater metagenome,SAMEA4527647,"Bilthoven, The Netherlands",52.136,5.21,Netherlands,,,
ERS1426827,wastewater metagenome,SAMEA4527648,"Oslo, Norway",59.913,10.752,Norway,,,
ERS1426828,wastewater metagenome,SAMEA4527649,"Kathmandu, Nepal",27.717,85.324,Nepal,,,
ERS1426829,wastewater metagenome,SAMEA4527650,"Dunedin, New Zealand",45.878,170.502,New Zealand,,,
ERS1426830,wastewater metagenome,SAMEA4527651,"Pulawy, Poland",51.416,21.969,Poland,,,
ERS1426831,wastewater metagenome,SAMEA4527652,"Karachi, Pakistan",24.861,67.009,Pakistan,,,
ERS1426832,wastewater metagenome,SAMEA4527653,"Lima, Peru",12.046,77.042,Peru,,,
ERS1426833,wastewater metagenome,SAMEA4527654,"Dakar, Senegal",14.764,17.366,Senegal,,,
ERS1426834,wastewater metagenome,SAMEA4527655,"Singapore, Singapore",1.352,103.819,Singapore,,,
ERS1426835,wastewater metagenome,SAMEA4527656,"Belgrade, Serbia",44.786,20.448,Serbia,,,
ERS1426836,wastewater metagenome,SAMEA4527657,"Bratislava, Slovakia",48.148,17.107,Slovakia,,,
ERS1426837,wastewater metagenome,SAMEA4527658,"Ljubljana, Slovenia",46.056,14.505,Slovenia,,,
ERS1426838,wastewater metagenome,SAMEA4527659,"Uppsala, Sweden",59.858,17.638,Sweden,,,
ERS1426839,wastewater metagenome,SAMEA4527660,"Gotheborg, Sweden",57.708,11.974,Sweden,,,
ERS1426840,wastewater metagenome,SAMEA4527661,"N''Djamena, Chad",12.134,15.055,Chad,,,
ERS1426841,wastewater metagenome,SAMEA4527662,"Lome, Togo",6.172,1.231,Togo,,,
